time,sea_water_temperature,mass_concentration_of_chlorophyll_in_sea_water
UTC,degree_Celsius,microg.L-1
2019-01-03T13:12:00Z,10.17,2.14
2019-01-03T13:18:00Z,10.17,7.44
2019-01-03T13:24:00Z,10.17,8.76
2019-01-03T13:30:00Z,10.16,4.73
2019-01-03T13:36:00Z,10.15,0.72
2019-01-03T13:42:00Z,10.15,0.73
2019-01-03T13:48:00Z,10.13,1.44
2019-01-03T13:54:00Z,10.13,1.62
2019-01-03T14:00:00Z,10.1875,1.62
2019-01-03T14:06:00Z,10.14,1.23
2019-01-03T14:12:00Z,10.14,1.1
2019-01-03T14:18:00Z,10.16,3.57
2019-01-03T14:24:00Z,10.17,4.39
2019-01-03T14:30:00Z,10.17,4.39
